niche_breadth_scaling_coef,m_immigration,m_immigration_black_mats,nu,dispersal_kernel_slope,i_sim
1,0.5,0.09,1e-5,1e3,2769
1,0.05,0.001,0.1,1e4,2770
1,0.001,0.09,0.001,1e6,2771
4,0.09,0.9,1e-5,1e4,2772
4,0.01,0.001,1e-6,1e5,2773
20,0.005,0.1,0.001,1e4,2774
1,0.009,0.5,1e-6,100,2775
4,0.9,0.01,0.001,1e5,2776
4,0.009,0.005,0.001,1e5,2777
1,0.009,0.05,0.001,1e5,2778
20,0.005,0.005,1e-4,1e6,2779
1,0.09,0.9,0.1,100,2780
4,0.09,0.001,1e-5,100,2781
4,0.1,0.09,1e-4,100,2782
20,0.09,0.9,1e-6,1e4,2783
1,0.005,0.005,0.01,1e3,2784
20,0.09,0.009,0.01,1e6,2785
4,0.01,0.09,0.01,10,2786
20,0.1,0.9,0.01,100,2787
4,0.09,0.9,1e-6,100,2788
1,0.1,0.009,0.001,1e4,2789
20,0.9,0.001,1e-6,1e3,2790
1,0.05,0.001,0.1,10,2791
4,0.005,0.09,1e-4,10,2792
4,0.001,0.001,0.001,100,2793
4,0.09,0.1,1e-5,100,2794
4,0.9,0.05,1e-5,100,2795
20,0.1,0.1,1e-5,100,2796
20,0.9,0.5,0.1,100,2797
1,0.001,0.05,0.001,1e3,2798
1,0.05,0.009,0.001,1e3,2799
4,0.005,0.09,1e-4,1e4,2800
4,0.5,0.05,0.01,1e4,2801
4,0.005,0.9,0.1,1e3,2802
4,0.01,0.005,1e-4,1e4,2803
1,0.05,0.005,1e-5,1e4,2804
1,0.9,0.009,0.001,10,2805
20,0.9,0.005,0.1,100,2806
4,0.001,0.9,1e-6,100,2807
4,0.001,0.01,0.01,1e3,2808
20,0.005,0.001,0.1,10,2809
20,0.1,0.09,1e-4,100,2810
1,0.005,0.5,0.01,1e3,2811
20,0.5,0.1,1e-5,1e6,2812
20,0.09,0.09,1e-5,1e5,2813
4,0.001,0.005,0.1,1e4,2814
20,0.005,0.005,1e-6,10,2815
4,0.9,0.001,0.1,1e6,2816
20,0.1,0.5,1e-4,1e4,2817
20,0.05,0.9,1e-6,1e6,2818
20,0.9,0.005,1e-6,1e3,2819
4,0.1,0.01,1e-6,100,2820
4,0.009,0.001,0.1,1e4,2821
20,0.05,0.9,0.01,1e5,2822
4,0.9,0.01,0.01,1e4,2823
1,0.1,0.9,1e-6,1e3,2824
1,0.009,0.5,0.1,1e4,2825
20,0.05,0.5,0.01,100,2826
20,0.005,0.09,1e-5,1e4,2827
1,0.9,0.1,0.001,10,2828
20,0.5,0.09,0.01,1e6,2829
20,0.9,0.9,1e-6,10,2830
4,0.009,0.1,1e-4,1e6,2831
1,0.9,0.9,0.001,1e4,2832
20,0.5,0.09,0.01,1e5,2833
4,0.09,0.005,0.001,1e4,2834
20,0.05,0.9,0.001,1e6,2835
4,0.05,0.005,0.001,1e3,2836
1,0.005,0.09,1e-6,1e6,2837
4,0.009,0.005,1e-4,1e4,2838
4,0.01,0.001,0.01,1e6,2839
20,0.1,0.1,1e-4,1e6,2840
1,0.1,0.01,1e-5,100,2841
20,0.009,0.001,0.001,1e4,2842
4,0.01,0.09,0.01,1e5,2843
1,0.1,0.01,1e-5,10,2844
4,0.001,0.005,0.1,1e5,2845
20,0.1,0.1,0.01,1e4,2846
1,0.001,0.001,1e-6,1e3,2847
1,0.005,0.09,1e-5,100,2848
20,0.005,0.009,0.001,100,2849
4,0.01,0.1,1e-4,10,2850
1,0.09,0.5,0.01,100,2851
20,0.09,0.1,1e-4,1e4,2852
20,0.5,0.01,1e-4,1e5,2853
20,0.005,0.009,0.01,1e6,2854
1,0.09,0.01,0.01,1e5,2855
4,0.09,0.5,0.01,10,2856
4,0.05,0.05,0.1,1e4,2857
1,0.009,0.05,1e-5,1e5,2858
4,0.9,0.05,1e-4,1e4,2859
1,0.001,0.1,1e-5,1e4,2860
1,0.05,0.005,1e-5,100,2861
20,0.001,0.5,1e-5,1e5,2862
4,0.5,0.01,0.001,10,2863
4,0.1,0.001,1e-5,1e6,2864
20,0.1,0.9,1e-6,1e6,2865
4,0.5,0.09,0.01,1e3,2866
20,0.01,0.05,0.1,1e3,2867
1,0.9,0.01,0.01,1e3,2868
1,0.001,0.009,0.1,10,2869
4,0.005,0.5,0.01,1e5,2870
4,0.9,0.005,0.1,1e6,2871
1,0.5,0.1,0.1,1e4,2872
4,0.5,0.005,1e-6,1e6,2873
20,0.009,0.5,1e-5,100,2874
4,0.01,0.01,1e-4,1e3,2875
20,0.09,0.09,1e-4,1e6,2876
4,0.009,0.05,1e-4,1e3,2877
20,0.01,0.09,0.01,1e6,2878
4,0.9,0.001,1e-6,100,2879
20,0.009,0.09,0.001,1e6,2880
20,0.01,0.05,0.01,1e6,2881
4,0.09,0.01,1e-4,10,2882
4,0.01,0.5,0.1,10,2883
4,0.009,0.01,0.01,1e6,2884
20,0.005,0.009,1e-6,10,2885
1,0.001,0.01,1e-5,1e4,2886
1,0.05,0.009,0.1,1e3,2887
20,0.09,0.009,0.1,100,2888
4,0.9,0.9,0.1,1e4,2889
4,0.01,0.1,1e-6,100,2890
4,0.5,0.01,0.01,1e6,2891
4,0.009,0.009,0.1,1e4,2892
4,0.9,0.001,1e-6,10,2893
20,0.09,0.001,0.01,100,2894
4,0.005,0.005,1e-6,100,2895
4,0.01,0.01,1e-4,1e4,2896
20,0.5,0.05,0.1,1e5,2897
20,0.001,0.1,1e-6,1e6,2898
1,0.05,0.9,1e-6,1e5,2899
20,0.9,0.1,0.001,100,2900
20,0.01,0.01,1e-6,1e4,2901
1,0.01,0.05,0.01,1e3,2902
20,0.1,0.005,1e-5,1e6,2903
20,0.9,0.9,1e-6,1e6,2904
1,0.5,0.5,0.1,100,2905
4,0.9,0.05,1e-5,1e3,2906
4,0.01,0.09,0.1,100,2907
20,0.01,0.05,0.1,1e6,2908
1,0.005,0.009,1e-4,10,2909
1,0.001,0.05,0.01,1e6,2910
1,0.5,0.5,1e-6,1e5,2911
20,0.09,0.1,1e-4,1e6,2912
1,0.05,0.001,0.01,10,2913
4,0.005,0.005,0.1,1e6,2914
20,0.01,0.001,1e-5,10,2915
1,0.5,0.005,0.1,1e6,2916
1,0.09,0.009,0.01,10,2917
1,0.001,0.001,1e-4,1e5,2918
20,0.005,0.009,0.01,1e4,2919
20,0.09,0.09,0.01,100,2920
4,0.09,0.1,0.001,10,2921
4,0.1,0.9,1e-6,1e6,2922
20,0.01,0.9,0.01,100,2923
1,0.9,0.05,0.001,1e4,2924
4,0.1,0.1,0.01,100,2925
20,0.5,0.5,0.1,1e3,2926
20,0.5,0.01,0.01,1e6,2927
20,0.005,0.005,0.001,1e6,2928
4,0.5,0.1,1e-6,1e5,2929
4,0.01,0.9,1e-4,1e5,2930
20,0.9,0.1,1e-4,1e3,2931
20,0.001,0.05,1e-4,1e4,2932
4,0.001,0.9,1e-5,1e4,2933
4,0.01,0.009,0.01,1e5,2934
4,0.9,0.005,0.1,1e5,2935
4,0.009,0.009,1e-5,1e4,2936
4,0.009,0.9,1e-5,10,2937
1,0.1,0.001,1e-5,1e6,2938
4,0.05,0.05,0.001,1e4,2939
20,0.1,0.005,1e-4,10,2940
20,0.1,0.09,0.01,1e3,2941
4,0.09,0.9,1e-4,1e4,2942
20,0.1,0.05,0.1,1e4,2943
1,0.05,0.005,1e-5,100,2944
1,0.9,0.05,1e-4,1e4,2945
1,0.5,0.5,1e-6,1e3,2946
20,0.001,0.5,1e-4,10,2947
20,0.09,0.9,0.1,1e4,2948
1,0.009,0.09,1e-6,10,2949
20,0.01,0.1,0.1,1e5,2950
20,0.01,0.01,0.1,100,2951
1,0.01,0.05,1e-4,1e6,2952
4,0.5,0.001,1e-4,1e5,2953
1,0.05,0.001,1e-6,10,2954
4,0.9,0.005,0.01,1e4,2955
4,0.01,0.09,1e-5,100,2956
20,0.005,0.01,0.01,1e5,2957
20,0.1,0.9,0.01,1e5,2958
1,0.009,0.05,1e-4,10,2959
20,0.1,0.09,1e-6,1e4,2960
4,0.05,0.1,1e-4,1e6,2961
4,0.9,0.1,0.01,1e4,2962
1,0.9,0.9,1e-5,1e3,2963
4,0.09,0.001,1e-4,1e3,2964
20,0.005,0.5,0.01,10,2965
1,0.9,0.9,1e-6,1e6,2966
4,0.1,0.009,0.001,100,2967
20,0.09,0.1,0.01,1e6,2968
1,0.009,0.1,0.01,1e3,2969
1,0.05,0.005,1e-6,1e4,2970
4,0.1,0.05,0.001,100,2971
1,0.09,0.001,1e-4,100,2972
1,0.1,0.01,0.01,100,2973
20,0.009,0.05,1e-6,1e3,2974
1,0.009,0.09,1e-6,1e3,2975
1,0.5,0.05,0.001,1e6,2976
4,0.09,0.001,1e-4,1e4,2977
4,0.01,0.09,0.001,1e4,2978
1,0.01,0.005,1e-6,10,2979
4,0.09,0.001,0.1,10,2980
20,0.09,0.009,1e-6,1e6,2981
4,0.005,0.01,1e-5,100,2982
20,0.009,0.009,0.001,1e6,2983
4,0.01,0.05,1e-4,1e4,2984
1,0.09,0.005,0.001,10,2985
1,0.05,0.01,0.01,100,2986
1,0.9,0.9,1e-4,1e5,2987
1,0.009,0.09,0.01,1e4,2988
4,0.009,0.09,1e-6,1e5,2989
1,0.005,0.9,0.1,100,2990
1,0.009,0.01,1e-4,10,2991
20,0.001,0.01,0.01,1e5,2992
1,0.1,0.01,1e-5,1e5,2993
20,0.5,0.09,1e-5,10,2994
4,0.05,0.001,0.001,100,2995
20,0.5,0.9,0.1,1e3,2996
20,0.005,0.001,0.01,100,2997
1,0.009,0.1,0.1,100,2998
20,0.005,0.05,1e-5,1e6,2999
20,0.1,0.5,0.1,10,3000
20,0.05,0.09,0.1,1e6,3001
4,0.009,0.5,1e-5,10,3002
20,0.05,0.5,1e-5,1e4,3003
4,0.1,0.05,0.001,100,3004
1,0.09,0.001,1e-5,100,3005
4,0.1,0.1,0.01,1e6,3006
20,0.005,0.009,0.1,1e6,3007
4,0.5,0.001,0.1,1e4,3008
4,0.05,0.005,1e-5,1e6,3009
1,0.9,0.009,1e-5,1e4,3010
20,0.001,0.009,0.001,100,3011
4,0.9,0.009,1e-5,100,3012
4,0.005,0.05,0.01,1e4,3013
20,0.009,0.05,1e-5,1e3,3014
20,0.001,0.09,0.01,1e5,3015
4,0.05,0.1,0.001,10,3016
4,0.9,0.09,1e-6,100,3017
4,0.1,0.1,0.001,1e4,3018
20,0.09,0.05,1e-6,1e6,3019
20,0.009,0.1,0.001,1e3,3020
4,0.005,0.9,0.01,1e5,3021
4,0.05,0.05,1e-5,1e4,3022
1,0.009,0.09,1e-6,1e3,3023
4,0.05,0.1,0.001,10,3024
4,0.1,0.9,0.01,1e5,3025
4,0.001,0.005,1e-4,1e6,3026
20,0.009,0.005,1e-6,10,3027
1,0.09,0.01,1e-6,1e6,3028
1,0.9,0.09,1e-6,100,3029
4,0.9,0.9,0.001,1e6,3030
20,0.05,0.5,0.01,1e3,3031
1,0.5,0.009,0.1,1e6,3032
4,0.1,0.5,1e-5,10,3033
4,0.05,0.009,0.001,1e5,3034
20,0.5,0.9,1e-6,1e6,3035
20,0.09,0.005,1e-4,1e5,3036
1,0.1,0.9,0.001,1e5,3037
20,0.09,0.001,1e-6,10,3038
1,0.1,0.01,1e-5,1e6,3039
1,0.001,0.005,0.1,100,3040
4,0.01,0.5,0.01,10,3041
1,0.009,0.5,1e-5,1e5,3042
1,0.05,0.001,1e-4,1e3,3043
1,0.5,0.5,0.001,1e5,3044
4,0.009,0.5,1e-6,100,3045
4,0.9,0.001,1e-4,100,3046
20,0.05,0.1,0.001,1e4,3047
4,0.09,0.1,0.001,1e6,3048
4,0.05,0.009,1e-6,100,3049
4,0.1,0.5,1e-4,1e3,3050
1,0.009,0.09,0.01,10,3051
1,0.5,0.005,0.001,1e5,3052
4,0.05,0.01,0.01,1e3,3053
20,0.9,0.009,0.1,1e5,3054
20,0.01,0.1,0.1,1e6,3055
20,0.005,0.005,0.1,1e5,3056
20,0.05,0.001,1e-6,1e6,3057
4,0.9,0.5,0.001,1e5,3058
1,0.009,0.9,1e-5,10,3059
4,0.9,0.009,0.01,100,3060
20,0.5,0.009,0.01,100,3061
1,0.001,0.005,1e-6,1e4,3062
20,0.9,0.005,0.1,1e5,3063
4,0.09,0.005,1e-6,1e3,3064
20,0.009,0.005,0.001,1e6,3065
4,0.009,0.5,0.001,10,3066
1,0.05,0.5,1e-5,10,3067
4,0.001,0.001,0.001,10,3068
1,0.09,0.1,0.1,100,3069
20,0.005,0.05,0.1,100,3070
20,0.009,0.01,0.01,1e4,3071
4,0.01,0.05,0.01,1e5,3072
1,0.09,0.05,0.001,1e4,3073
20,0.09,0.009,1e-6,100,3074
1,0.05,0.01,1e-6,1e5,3075
20,0.09,0.5,0.01,1e4,3076
4,0.9,0.005,1e-6,1e5,3077
4,0.1,0.1,0.01,100,3078
1,0.01,0.001,1e-6,1e5,3079
4,0.5,0.001,0.01,1e6,3080
20,0.9,0.009,1e-6,100,3081
20,0.005,0.001,0.1,1e6,3082
20,0.09,0.1,1e-6,1e4,3083
1,0.9,0.005,0.01,1e3,3084
4,0.1,0.001,1e-5,1e5,3085
4,0.005,0.9,1e-5,1e4,3086
1,0.9,0.005,1e-4,1e3,3087
1,0.009,0.001,1e-6,1e6,3088
1,0.09,0.5,1e-5,1e3,3089
4,0.09,0.001,1e-4,1e5,3090
1,0.005,0.009,1e-6,1e6,3091
4,0.1,0.09,0.01,1e5,3092
20,0.01,0.9,1e-6,10,3093
4,0.05,0.01,0.01,10,3094
20,0.005,0.05,0.1,1e3,3095
1,0.09,0.005,0.01,1e5,3096
4,0.001,0.005,0.1,1e5,3097
1,0.09,0.005,1e-4,100,3098
4,0.09,0.009,0.01,1e5,3099
4,0.09,0.001,1e-6,1e5,3100
4,0.009,0.01,0.01,1e5,3101
4,0.005,0.5,1e-5,1e5,3102
20,0.5,0.005,1e-6,10,3103
1,0.5,0.05,0.1,1e5,3104
20,0.5,0.005,0.01,1e6,3105
20,0.005,0.009,1e-5,1e3,3106
20,0.009,0.009,0.001,10,3107
20,0.05,0.009,1e-4,1e3,3108
1,0.5,0.9,0.1,1e3,3109
1,0.01,0.05,1e-6,100,3110
4,0.05,0.005,0.1,1e3,3111
1,0.1,0.9,1e-4,1e4,3112
4,0.01,0.09,1e-6,1e3,3113
20,0.005,0.05,1e-4,1e5,3114
1,0.01,0.01,1e-6,1e6,3115
1,0.1,0.009,1e-5,100,3116
4,0.005,0.05,1e-4,100,3117
1,0.9,0.05,0.01,1e5,3118
1,0.5,0.09,1e-4,1e3,3119
4,0.05,0.01,0.01,100,3120
1,0.5,0.1,1e-4,1e4,3121
20,0.009,0.1,1e-4,1e6,3122
4,0.005,0.09,1e-6,1e4,3123
20,0.01,0.005,1e-5,1e3,3124
1,0.05,0.009,1e-6,1e4,3125
4,0.9,0.5,0.001,1e5,3126
20,0.09,0.009,0.1,100,3127
1,0.5,0.9,0.001,100,3128
20,0.9,0.09,0.01,1e5,3129
4,0.5,0.005,1e-4,1e6,3130
20,0.009,0.009,1e-5,1e6,3131
4,0.05,0.005,0.1,1e4,3132
20,0.9,0.1,0.1,1e5,3133
4,0.009,0.01,1e-5,100,3134
4,0.001,0.009,1e-6,1e5,3135
20,0.001,0.9,0.1,1e6,3136
4,0.09,0.001,0.01,1e6,3137
20,0.09,0.001,0.01,100,3138
4,0.005,0.1,1e-5,10,3139
1,0.005,0.9,0.001,10,3140
1,0.09,0.01,1e-4,100,3141
4,0.09,0.1,0.1,10,3142
4,0.1,0.09,0.001,10,3143
4,0.009,0.09,0.001,1e4,3144
20,0.5,0.001,0.01,100,3145
1,0.01,0.001,1e-5,1e6,3146
1,0.01,0.9,1e-5,1e4,3147
4,0.5,0.009,0.1,1e3,3148
4,0.009,0.001,1e-6,100,3149
4,0.5,0.09,0.01,1e3,3150
4,0.5,0.05,1e-6,10,3151
20,0.09,0.5,1e-6,1e3,3152
4,0.01,0.001,0.1,1e5,3153
1,0.05,0.01,1e-6,1e6,3154
1,0.1,0.001,0.01,1e3,3155
20,0.01,0.009,0.01,10,3156
20,0.001,0.09,0.001,1e6,3157
1,0.5,0.09,0.001,1e6,3158
1,0.005,0.1,1e-4,1e5,3159
1,0.9,0.005,0.001,10,3160
20,0.5,0.5,0.1,1e3,3161
4,0.01,0.1,0.1,1e4,3162
1,0.05,0.9,0.01,1e3,3163
1,0.09,0.09,0.01,10,3164
20,0.09,0.009,1e-6,1e3,3165
4,0.001,0.001,1e-5,100,3166
4,0.009,0.005,0.01,1e5,3167
1,0.009,0.09,0.001,1e6,3168
20,0.9,0.001,1e-5,1e3,3169
1,0.001,0.05,0.1,1e4,3170
4,0.001,0.009,0.1,1e6,3171
4,0.5,0.5,0.01,100,3172
4,0.001,0.005,0.001,1e6,3173
1,0.05,0.01,0.01,10,3174
20,0.1,0.9,1e-5,1e4,3175
1,0.005,0.09,0.001,1e5,3176
4,0.09,0.5,1e-6,1e6,3177
1,0.001,0.001,1e-4,100,3178
4,0.5,0.9,0.1,100,3179
1,0.01,0.9,0.01,100,3180
4,0.001,0.01,1e-6,10,3181
1,0.001,0.1,1e-6,1e5,3182
4,0.005,0.9,1e-4,1e6,3183
1,0.01,0.01,0.01,100,3184
20,0.1,0.5,1e-6,10,3185
4,0.9,0.5,0.001,10,3186
4,0.01,0.009,0.001,10,3187
1,0.001,0.09,1e-5,100,3188
4,0.01,0.005,0.01,100,3189
20,0.05,0.1,1e-6,100,3190
4,0.01,0.9,0.1,1e5,3191
20,0.01,0.05,0.001,100,3192
4,0.001,0.001,1e-6,1e3,3193
20,0.001,0.05,1e-4,1e6,3194
20,0.1,0.001,0.1,1e3,3195
20,0.1,0.005,1e-6,1e3,3196
1,0.005,0.005,1e-6,1e4,3197
20,0.05,0.009,1e-6,1e3,3198
4,0.1,0.09,0.001,1e6,3199
4,0.09,0.09,1e-5,1e5,3200
1,0.5,0.001,1e-6,1e4,3201
1,0.01,0.005,1e-4,100,3202
1,0.001,0.009,1e-4,1e3,3203
1,0.9,0.9,1e-5,1e5,3204
20,0.009,0.9,0.001,100,3205
20,0.1,0.05,1e-6,100,3206
20,0.5,0.005,0.01,100,3207
4,0.09,0.5,1e-4,1e6,3208
20,0.5,0.1,1e-4,100,3209
20,0.005,0.9,1e-5,100,3210
20,0.9,0.5,0.1,1e4,3211
20,0.1,0.05,1e-6,1e5,3212
4,0.01,0.01,0.1,1e4,3213
20,0.005,0.1,1e-5,1e5,3214
1,0.009,0.001,1e-4,10,3215
20,0.1,0.5,0.001,1e3,3216
4,0.9,0.09,1e-4,10,3217
4,0.05,0.9,1e-4,10,3218
20,0.001,0.01,1e-5,100,3219
1,0.09,0.01,1e-4,100,3220
4,0.09,0.1,0.1,10,3221
4,0.005,0.05,1e-6,10,3222
4,0.05,0.5,0.01,1e3,3223
1,0.05,0.9,0.1,1e6,3224
4,0.9,0.01,1e-5,10,3225
4,0.5,0.5,1e-4,100,3226
4,0.05,0.5,0.1,100,3227
20,0.1,0.001,1e-4,1e4,3228
20,0.009,0.5,0.001,1e6,3229
4,0.05,0.001,0.1,1e3,3230
1,0.01,0.009,1e-6,1e6,3231
20,0.005,0.005,1e-4,100,3232
20,0.05,0.9,1e-6,1e6,3233
1,0.09,0.005,1e-4,1e5,3234
4,0.1,0.1,0.1,10,3235
4,0.05,0.009,0.001,10,3236
4,0.09,0.001,0.01,1e3,3237
4,0.5,0.1,0.001,100,3238
4,0.001,0.009,0.1,1e3,3239
4,0.01,0.005,0.01,10,3240
1,0.05,0.5,1e-5,1e5,3241
1,0.1,0.005,0.01,1e6,3242
20,0.5,0.1,1e-5,10,3243
1,0.001,0.005,1e-5,10,3244
4,0.09,0.005,0.1,1e4,3245
20,0.5,0.5,0.001,1e5,3246
1,0.01,0.9,0.01,10,3247
20,0.5,0.005,1e-6,10,3248
4,0.09,0.009,1e-5,10,3249
1,0.005,0.09,0.1,1e5,3250
1,0.005,0.5,1e-5,10,3251
20,0.05,0.009,0.01,1e6,3252
20,0.01,0.01,0.1,1e3,3253
1,0.01,0.9,0.01,1e5,3254
1,0.5,0.005,0.001,10,3255
1,0.09,0.005,1e-5,1e4,3256
4,0.5,0.001,1e-5,10,3257
4,0.01,0.5,1e-6,1e5,3258
20,0.005,0.005,1e-4,1e6,3259
4,0.009,0.5,1e-6,1e5,3260
1,0.9,0.9,1e-6,1e5,3261
20,0.01,0.1,1e-6,1e3,3262
20,0.005,0.9,1e-6,100,3263
4,0.5,0.5,1e-5,1e3,3264
20,0.5,0.005,1e-5,1e4,3265
1,0.1,0.005,1e-6,1e6,3266
20,0.001,0.01,0.1,10,3267
1,0.5,0.9,1e-4,100,3268
1,0.001,0.01,0.01,100,3269
4,0.9,0.005,1e-6,1e4,3270
4,0.09,0.05,1e-6,100,3271
1,0.1,0.009,0.1,1e4,3272
1,0.05,0.009,0.1,1e4,3273
1,0.01,0.5,1e-6,1e5,3274
1,0.05,0.1,1e-6,1e5,3275
20,0.005,0.009,1e-5,1e5,3276
20,0.1,0.01,0.01,1e6,3277
1,0.001,0.009,0.001,10,3278
1,0.09,0.05,1e-6,1e5,3279
1,0.9,0.01,0.1,1e4,3280
20,0.005,0.05,1e-6,100,3281
1,0.01,0.009,1e-5,1e6,3282
4,0.5,0.01,1e-5,1e3,3283
4,0.1,0.009,0.1,1e4,3284
1,0.05,0.1,0.001,100,3285
4,0.9,0.9,1e-6,1e6,3286
20,0.009,0.005,0.1,1e6,3287
20,0.09,0.009,1e-4,1e5,3288
1,0.1,0.9,1e-6,1e4,3289
20,0.09,0.5,1e-5,1e5,3290
1,0.01,0.009,1e-4,10,3291
4,0.09,0.009,1e-5,1e4,3292
20,0.9,0.09,1e-6,1e6,3293
1,0.5,0.009,1e-5,10,3294
4,0.9,0.05,1e-5,1e3,3295
20,0.009,0.005,0.1,1e4,3296
20,0.09,0.001,0.01,1e4,3297
1,0.005,0.9,1e-6,1e3,3298
4,0.009,0.009,1e-4,1e3,3299
4,0.009,0.9,0.01,1e6,3300
1,0.09,0.1,0.1,1e3,3301
1,0.1,0.009,1e-6,10,3302
4,0.01,0.005,0.01,1e4,3303
1,0.09,0.01,0.001,1e6,3304
4,0.1,0.05,0.01,10,3305
4,0.5,0.005,1e-4,1e5,3306
1,0.09,0.9,1e-6,10,3307
1,0.09,0.5,0.01,1e4,3308
1,0.9,0.009,0.001,1e4,3309
1,0.09,0.01,0.01,100,3310
20,0.005,0.05,1e-6,1e5,3311
1,0.05,0.1,1e-4,1e5,3312
1,0.009,0.005,1e-4,1e6,3313
4,0.5,0.1,1e-5,1e3,3314
20,0.5,0.005,1e-4,1e3,3315
4,0.1,0.005,1e-6,10,3316
20,0.9,0.009,1e-5,1e4,3317
20,0.1,0.1,0.1,1e6,3318
4,0.9,0.005,0.01,1e5,3319
20,0.001,0.009,0.01,10,3320
4,0.05,0.05,1e-5,1e5,3321
20,0.001,0.1,0.01,1e3,3322
20,0.1,0.09,0.1,1e3,3323
1,0.001,0.001,0.1,10,3324
4,0.09,0.05,1e-6,1e6,3325
4,0.01,0.05,1e-4,1e4,3326
20,0.009,0.009,0.1,10,3327
1,0.5,0.001,0.1,100,3328
20,0.9,0.009,0.001,1e3,3329
1,0.9,0.01,1e-5,100,3330
4,0.05,0.9,0.1,100,3331
1,0.5,0.9,0.01,1e4,3332
4,0.1,0.1,1e-6,1e3,3333
1,0.001,0.09,1e-5,1e5,3334
4,0.09,0.1,1e-5,10,3335
4,0.1,0.05,1e-4,1e3,3336
20,0.1,0.009,0.001,1e4,3337
4,0.09,0.5,1e-5,1e4,3338
20,0.009,0.9,0.001,1e6,3339
1,0.009,0.1,0.01,100,3340
4,0.1,0.1,0.001,10,3341
4,0.05,0.009,1e-5,100,3342
4,0.05,0.01,0.1,1e5,3343
4,0.5,0.1,1e-4,1e6,3344
20,0.1,0.009,0.1,1e5,3345
4,0.9,0.05,0.001,100,3346
1,0.01,0.9,0.1,100,3347
1,0.09,0.9,0.001,1e4,3348
4,0.001,0.05,0.1,10,3349
4,0.001,0.001,1e-4,1e4,3350
4,0.01,0.05,0.01,1e5,3351
1,0.09,0.001,1e-4,1e3,3352
1,0.09,0.05,1e-4,1e6,3353
20,0.005,0.05,0.001,1e4,3354
1,0.009,0.05,1e-5,1e4,3355
1,0.01,0.09,1e-6,1e5,3356
1,0.05,0.01,0.001,1e4,3357
20,0.01,0.5,0.001,1e6,3358
20,0.005,0.005,1e-6,1e4,3359
4,0.009,0.5,1e-5,1e5,3360
1,0.009,0.009,1e-4,1e5,3361
4,0.05,0.9,0.001,1e4,3362
4,0.001,0.005,0.001,1e3,3363
20,0.05,0.1,1e-5,100,3364
1,0.005,0.01,0.001,1e6,3365
20,0.09,0.001,0.01,10,3366
4,0.09,0.09,1e-4,100,3367
4,0.009,0.01,1e-4,100,3368
1,0.09,0.09,1e-6,1e3,3369
20,0.9,0.5,1e-4,1e5,3370
20,0.5,0.05,0.1,1e4,3371
4,0.5,0.9,1e-4,1e6,3372
4,0.1,0.9,0.01,1e3,3373
20,0.1,0.01,1e-5,1e6,3374
20,0.005,0.005,1e-6,1e3,3375
4,0.9,0.1,0.01,1e4,3376
4,0.01,0.9,0.01,100,3377
1,0.009,0.009,0.01,10,3378
20,0.001,0.009,0.01,1e4,3379
20,0.5,0.009,1e-5,1e3,3380
20,0.9,0.09,0.1,1e6,3381
4,0.005,0.1,1e-5,100,3382
1,0.5,0.09,1e-5,1e5,3383
1,0.05,0.5,1e-4,1e5,3384
1,0.01,0.01,1e-4,1e5,3385
4,0.009,0.09,0.1,100,3386
20,0.5,0.9,1e-6,1e5,3387
1,0.001,0.9,0.001,1e5,3388
1,0.1,0.005,1e-6,100,3389
20,0.5,0.5,0.1,1e6,3390
20,0.001,0.09,0.1,100,3391
1,0.005,0.1,0.1,10,3392
1,0.1,0.005,1e-5,1e4,3393
20,0.05,0.1,0.01,1e4,3394
1,0.1,0.9,0.01,1e4,3395
4,0.009,0.01,0.01,1e4,3396
1,0.001,0.01,0.01,10,3397
20,0.01,0.009,1e-6,1e5,3398
1,0.1,0.1,1e-4,1e5,3399
4,0.005,0.001,0.1,1e3,3400
20,0.09,0.5,1e-5,1e5,3401
1,0.9,0.001,0.1,1e4,3402
20,0.001,0.9,0.001,1e5,3403
20,0.001,0.009,1e-5,1e6,3404
20,0.005,0.01,1e-5,1e4,3405
4,0.5,0.009,0.1,1e5,3406
1,0.5,0.009,1e-5,1e6,3407
1,0.09,0.001,0.01,1e3,3408
20,0.5,0.9,0.01,10,3409
4,0.009,0.9,0.1,10,3410
1,0.1,0.05,1e-6,1e4,3411
4,0.09,0.01,0.01,1e6,3412
20,0.09,0.009,0.1,1e3,3413
1,0.9,0.005,1e-6,10,3414
1,0.001,0.005,0.1,1e5,3415
4,0.009,0.005,0.01,1e5,3416
20,0.001,0.5,0.01,1e6,3417
20,0.01,0.5,0.001,1e3,3418
4,0.01,0.001,1e-4,1e4,3419
20,0.05,0.5,1e-6,1e5,3420
4,0.1,0.001,1e-6,100,3421
4,0.5,0.05,0.001,1e6,3422
20,0.1,0.005,0.001,100,3423
4,0.01,0.009,0.1,10,3424
4,0.01,0.01,1e-4,1e4,3425
4,0.09,0.09,0.01,1e5,3426
4,0.01,0.1,1e-5,1e3,3427
20,0.01,0.5,0.001,100,3428
20,0.09,0.5,1e-4,1e6,3429
1,0.1,0.01,0.1,1e3,3430
1,0.09,0.05,1e-4,1e4,3431
1,0.009,0.5,1e-4,10,3432
1,0.001,0.05,0.01,100,3433
1,0.05,0.1,1e-6,1e6,3434
20,0.9,0.009,0.001,1e4,3435
1,0.009,0.1,0.1,1e6,3436
20,0.005,0.09,0.01,1e6,3437
1,0.1,0.1,1e-4,1e3,3438
